,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
17,17,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,17,1033,75.9,67.2,85.5,57,-4.4,-15.6,8.3,2,592
170,170,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,170,5121,83.9,68.2,102.5,21,4.3,-4.9,14.4,2,2375
2477,2477,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2477,47101,116.1,93.6,142.9,19,1.2,-24.5,35.7,2,1645
2274,2274,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2274,42063,52.9,47,59.5,59,9,-5.5,25.7,2,1336
2566,2566,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2566,48089,65.6,53.2,80.4,20,-5.8,-11.9,0.8,2,603
1068,1068,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,1068,21153,109.7,86.5,137.3,16,6,2.2,10.1,4,1769
178,178,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,178,5137,66.5,51.1,85.8,14,-1.9,-15.4,13.8,2,2701
1334,1334,1334,27043,_ ,_, _,_,_,_,_,1334,27043,_ ,_, _,_,_,_,_,1334,27043,_ ,_, _,_,_,_,_,1334,27043,_ ,_, _,_,_,_,_,1334,27043,_ ,_, _,_,_,_,_,1334,27043,_ ,_, _,_,_,_,_,1334,27043,_ ,_, _,_,_,_,_,5,907
1512,1512,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,1512,29061,75,54,102.4,9,7.2,-30.4,65.2,2,725
1316,1316,1316,27007,_ ,_, _,_,_,_,_,1316,27007,_ ,_, _,_,_,_,_,1316,27007,_ ,_, _,_,_,_,_,1316,27007,_ ,_, _,_,_,_,_,1316,27007,_ ,_, _,_,_,_,_,1316,27007,_ ,_, _,_,_,_,_,1316,27007,_ ,_, _,_,_,_,_,5,173
