,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
167,167,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,167,5115,86.3,76.7,96.9,59,-6.9,-16.5,3.8,2,2305
730,730,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,730,18069,65,54.7,76.8,29,-7.4,-21.1,8.7,2,1322
2268,2268,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2268,42051,77.5,72,83.4,151,-6.5,-13.9,1.5,2,918
1310,1310,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,1310,26161,54.4 #  ,50.7,58.3,172,-5.9,-24.1,16.7,2,2981
2413,2413,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2413,46107,89,54.2,147.4,4,-1.6,-27.7,34,2,2318
26,26,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,26,1051,78.1,69.7,87.2,66,-3.4,-13.9,8.4,2,870
2091,2091,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2091,39099,69.4,65.3,73.6,232,-2.5,-8.6,4,2,1772
1897,1897,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,1897,37017,64.1,54,75.7,30,-5.6,-22.8,15.5,2,211
1652,1652,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,1652,30111,60.9,55.8,66.5,105,3.7,-7.6,16.3,2,3125
1622,1622,1622,30051,* ,*, *,3 or fewer,*,*,*,1622,30051,* ,*, *,3 or fewer,*,*,*,1622,30051,* ,*, *,3 or fewer,*,*,*,1622,30051,* ,*, *,3 or fewer,*,*,*,1622,30051,* ,*, *,3 or fewer,*,*,*,1622,30051,* ,*, *,3 or fewer,*,*,*,1622,30051,* ,*, *,3 or fewer,*,*,*,3,1653
587,587,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,587,16075,64.8,52,80.1,18,-4.6,-9.1,0.2,2,2204
1401,1401,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,1401,28003,75.7,65,87.7,37,-4.2,-17,10.7,2,31
997,997,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,997,21011,109,86.3,136.1,16,-2.5,-17.4,15.2,2,147
1176,1176,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,1176,23001,78.1,71.3,85.3,101,-1.8,-7.8,4.7,2,66
1700,1700,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,1700,31095,65.2,45.9,91.4,8,5.1,-36,72.6,2,1410
1040,1040,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,1040,21097,95.8,78.9,115.7,23,5.6,-17.9,35.7,2,1212
33,33,33,1065,71,55,90.6,14,1.8,-25.5,39,33,1065,71,55,90.6,14,1.8,-25.5,39,33,1065,71,55,90.6,14,1.8,-25.5,39,33,1065,71,55,90.6,14,1.8,-25.5,39,33,1065,71,55,90.6,14,1.8,-25.5,39,33,1065,71,55,90.6,14,1.8,-25.5,39,33,1065,71,55,90.6,14,1.8,-25.5,39,2,1149
2009,2009,2009,38041,* ,*, *,3 or fewer,*,*,*,2009,38041,* ,*, *,3 or fewer,*,*,*,2009,38041,* ,*, *,3 or fewer,*,*,*,2009,38041,* ,*, *,3 or fewer,*,*,*,2009,38041,* ,*, *,3 or fewer,*,*,*,2009,38041,* ,*, *,3 or fewer,*,*,*,2009,38041,* ,*, *,3 or fewer,*,*,*,3,1258
2483,2483,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2483,47113,70.7,63.8,78.2,78,-1.2,-11.6,10.5,2,1765
1379,1379,1379,27133,_ ,_, _,_,_,_,_,1379,27133,_ ,_, _,_,_,_,_,1379,27133,_ ,_, _,_,_,_,_,1379,27133,_ ,_, _,_,_,_,_,1379,27133,_ ,_, _,_,_,_,_,1379,27133,_ ,_, _,_,_,_,_,1379,27133,_ ,_, _,_,_,_,_,5,2440
41,41,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,41,1081,59.4,53.2,66.1,71,0.3,-4.6,5.6,2,1618
1876,1876,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,1876,36099,81.3,69.8,94.3,37,-0.8,-19.6,22.4,2,2564
2106,2106,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2106,39129,77.5,68,88,49,-4.5,-16.6,9.4,2,2246
2786,2786,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2786,49021,29.5,22.3,38.3,11,-1.5,-3.9,1,2,1347
2732,2732,2732,48421,* ,*, *,3 or fewer,*,*,*,2732,48421,* ,*, *,3 or fewer,*,*,*,2732,48421,* ,*, *,3 or fewer,*,*,*,2732,48421,* ,*, *,3 or fewer,*,*,*,2732,48421,* ,*, *,3 or fewer,*,*,*,2732,48421,* ,*, *,3 or fewer,*,*,*,2732,48421,* ,*, *,3 or fewer,*,*,*,3,2601
2271,2271,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2271,42057,54.3,40.6,71.5,11,-1.6,-35.8,50.7,2,998
2010,2010,2010,38043,* ,*, *,3 or fewer,*,*,*,2010,38043,* ,*, *,3 or fewer,*,*,*,2010,38043,* ,*, *,3 or fewer,*,*,*,2010,38043,* ,*, *,3 or fewer,*,*,*,2010,38043,* ,*, *,3 or fewer,*,*,*,2010,38043,* ,*, *,3 or fewer,*,*,*,2010,38043,* ,*, *,3 or fewer,*,*,*,3,1497
1991,1991,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,1991,38005,59.4,35.8,92.7,4,0.6,-19.5,25.6,2,178
609,609,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,609,17031,63.4,62.4,64.4,3359,-3.5,-5.5,-1.5,1,628
1132,1132,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,1132,22041,77.2,62.9,94,21,-2.1,-23.4,25.2,2,978
28,28,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,28,1055,81.9,75.1,89.1,110,-0.1,-9.8,10.6,2,891
441,441,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,441,13113,47.4,41.9,53.5,57,-4.2,-14.6,7.4,2,912
665,665,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,665,17143,84,78.6,89.8,180,-0.3,-12.5,13.6,2,2218
2270,2270,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2270,42055,58.5,53.8,63.6,116,-2.1,-7.5,3.6,2,972
493,493,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,493,13219,46.8,36.6,59.1,15,13.1,-12.7,46.5,2,2109
1258,1258,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,1258,26057,66 #  ,56.2,77,33,-5.1,-19.3,11.7,2,1094
1301,1301,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,1301,26143,81 #  ,69.7,94.3,41,-0.6,-17.4,19.8,2,2458
2662,2662,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,2662,48281,74.1,59.9,90.9,19,14.7,0.9,30.4,4,1576
2480,2480,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,2480,47107,81.4,72.3,91.5,59,-4.8,-7.3,-2.2,1,1866
1382,1382,1382,27139,_ ,_, _,_,_,_,_,1382,27139,_ ,_, _,_,_,_,_,1382,27139,_ ,_, _,_,_,_,_,1382,27139,_ ,_, _,_,_,_,_,1382,27139,_ ,_, _,_,_,_,_,1382,27139,_ ,_, _,_,_,_,_,1382,27139,_ ,_, _,_,_,_,_,5,2549
1304,1304,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,1304,26149,65.7 #  ,57.6,74.7,49,1.5,-21,30.5,2,2658
236,236,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,236,6103,65.2,57.6,73.7,54,-11.7,-21.6,-0.6,1,2768
551,551,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,551,16003,69.5,43.6,110.1,5,15.7,-48.6,160.5,2,9
520,520,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,520,13273,63,44.5,87.2,8,3.7,-32.9,60.2,2,2773
2328,2328,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2328,45027,70,59.7,81.8,35,15.7,-1.1,35.3,2,518
1232,1232,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,1232,26005,53.7 #  ,48.1,59.8,70,-2.4,-8.1,3.7,2,40
1138,1138,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,1138,22053,81.8,69.4,96,31,-5.3,-18.5,10,2,1422
1905,1905,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,1905,37033,70.4,57.7,85.3,22,5.3,3,7.6,4,428
720,720,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,720,18049,83.8,69,101.1,23,-2.1,-12,8.8,2,994
735,735,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,735,18079,97.9,82.6,115.4,30,-7.7,-20.9,7.6,2,1425
2782,2782,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2782,49013,50.2,35.9,68.2,8,-0.7,-3.3,1.9,2,822
1750,1750,1750,32009,__ ,__, __,__,__,__,__,1750,32009,__ ,__, __,__,__,__,__,1750,32009,__ ,__, __,__,__,__,__,1750,32009,__ ,__, __,__,__,__,__,1750,32009,__ ,__, __,__,__,__,__,1750,32009,__ ,__, __,__,__,__,__,1750,32009,__ ,__, __,__,__,__,__,6,884
58,58,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,58,1115,74.7,67.1,83.1,72,-2.3,-6.9,2.5,2,2646
631,631,631,17075,72,61.1,84.6,31,2.4,-17,26.4,631,17075,72,61.1,84.6,31,2.4,-17,26.4,631,17075,72,61.1,84.6,31,2.4,-17,26.4,631,17075,72,61.1,84.6,31,2.4,-17,26.4,631,17075,72,61.1,84.6,31,2.4,-17,26.4,631,17075,72,61.1,84.6,31,2.4,-17,26.4,631,17075,72,61.1,84.6,31,2.4,-17,26.4,2,1349
1181,1181,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,1181,23011,75.6,69.6,82.1,121,-6.9,-17.7,5.2,2,1481
2314,2314,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2314,44009,64.8,59.2,70.7,104,-1.5,-10.9,8.9,2,2971
